epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,55414.4,0.99261,1.56719,1.17833,0.80908,0.84696,0.88688,0.52533,1.24932,1.56395,1.17574,0.00551584,0.00551584,0.00551584
143,55803.4,0.99953,1.56124,1.17299,0.84485,0.81521,0.8847,0.51354,1.28711,1.6078,1.18272,0.00546421,0.00546421,0.00546421
144,56190.8,0.98863,1.5362,1.17472,0.77279,0.82538,0.8526,0.51905,1.22219,1.55705,1.16216,0.00541253,0.00541253,0.00541253
145,56577.6,0.98516,1.51701,1.1679,0.8311,0.7806,0.84743,0.51677,1.20176,1.51632,1.14993,0.00536081,0.00536081,0.00536081
146,56965.5,0.97792,1.51132,1.16719,0.76775,0.75519,0.80668,0.51044,1.21736,1.547,1.15679,0.00530906,0.00530906,0.00530906
147,57355.1,1.00926,1.54779,1.17181,0.82779,0.80261,0.86749,0.52587,1.1978,1.54573,1.14386,0.00525728,0.00525728,0.00525728
148,57740.3,1.00539,1.5532,1.16406,0.82488,0.76169,0.8317,0.50261,1.20696,1.51387,1.14853,0.00520548,0.00520548,0.00520548
149,58125,0.98533,1.53946,1.16676,0.78863,0.7231,0.79372,0.4954,1.21695,1.51785,1.14978,0.00515366,0.00515366,0.00515366
150,58510.6,0.99454,1.50904,1.16356,0.75729,0.81441,0.83437,0.50363,1.20741,1.50764,1.14922,0.00510184,0.00510184,0.00510184
151,58898,1.00042,1.54418,1.16107,0.85004,0.83711,0.88128,0.50011,1.23512,1.54284,1.16921,0.00505,0.00505,0.00505
152,59282.7,0.98017,1.50187,1.16026,0.79262,0.74507,0.79752,0.50116,1.20189,1.49229,1.14864,0.00499816,0.00499816,0.00499816
153,59670.4,0.98497,1.53004,1.17012,0.79304,0.68678,0.78721,0.50639,1.19695,1.49285,1.14004,0.00494634,0.00494634,0.00494634
154,60057.4,0.98398,1.50126,1.16508,0.79932,0.7132,0.79202,0.50736,1.20915,1.50704,1.13212,0.00489452,0.00489452,0.00489452
155,60447.1,0.96657,1.49485,1.15124,0.82897,0.7744,0.83533,0.51715,1.21511,1.51547,1.14703,0.00484272,0.00484272,0.00484272
156,60856.8,0.99133,1.52559,1.17069,0.83091,0.76916,0.82488,0.50185,1.23802,1.52006,1.1546,0.00479094,0.00479094,0.00479094
157,61250.9,0.99099,1.51363,1.16784,0.83181,0.77134,0.83616,0.51094,1.21166,1.50595,1.14175,0.00473919,0.00473919,0.00473919
158,61643.9,0.97445,1.48884,1.15118,0.87773,0.79706,0.87207,0.50506,1.21857,1.52436,1.14507,0.00468747,0.00468747,0.00468747
159,62036.9,0.95694,1.46498,1.15061,0.88197,0.80437,0.88823,0.5195,1.20055,1.5042,1.13872,0.00463579,0.00463579,0.00463579
160,62434,0.97157,1.48638,1.14555,0.8176,0.76489,0.81735,0.50099,1.20895,1.52379,1.14708,0.00458416,0.00458416,0.00458416
161,62825.5,0.99395,1.51179,1.15983,0.813,0.75536,0.79538,0.50116,1.19115,1.49473,1.13918,0.00453258,0.00453258,0.00453258
162,63219.9,0.95003,1.46904,1.15728,0.77878,0.74283,0.79228,0.50473,1.19953,1.50155,1.14102,0.00448106,0.00448106,0.00448106
163,63614.1,0.96679,1.4784,1.15658,0.83837,0.79909,0.84541,0.50733,1.19868,1.49647,1.13502,0.0044296,0.0044296,0.0044296
164,63999.4,0.96184,1.46839,1.1474,0.82616,0.83523,0.87805,0.51388,1.19337,1.47888,1.1312,0.00437821,0.00437821,0.00437821
165,64383.1,0.94723,1.46619,1.15309,0.8343,0.82139,0.87263,0.5134,1.19053,1.48009,1.13331,0.00432689,0.00432689,0.00432689
166,64768.9,0.97655,1.4908,1.1528,0.84196,0.8267,0.8872,0.52096,1.19279,1.48932,1.13705,0.00427565,0.00427565,0.00427565
167,65156.2,0.95755,1.47414,1.15217,0.81301,0.80451,0.83707,0.51327,1.18947,1.48783,1.13312,0.00422449,0.00422449,0.00422449
168,65541.3,0.95611,1.44096,1.15168,0.82073,0.80941,0.87978,0.51427,1.21224,1.51615,1.14103,0.00417343,0.00417343,0.00417343
